"n.missing"	"n.rows"
"dbo_R_RIALtO_Baseline1.ClinicalTrialId"	0	471
"dbo_R_RIALtO_Baseline1.Site"	0	471
"dbo_R_RIALtO_Baseline1.PersonId"	0	471
"dbo_R_RIALtO_Baseline1.VisitId"	0	471
"dbo_R_RIALtO_Baseline1.VisitCycleNumber"	0	471
"dbo_R_RIALtO_Baseline1.CRFPageId"	0	471
"dbo_R_RIALtO_Baseline1.CRFPageCycleNumber"	0	471
"dbo_R_RIALtO_Baseline1.HospitalSite"	0	471
"dbo_R_RIALtO_Baseline1.PatientNo"	0	471
"dbo_R_RIALtO_Baseline1.PatInitials"	0	471
"dbo_R_RIALtO_Baseline1.DEMDate"	2	471
"dbo_R_RIALtO_Baseline1.DEMWeight"	451	471
"dbo_R_RIALtO_Baseline1.DEMWghtChng"	451	471
"dbo_R_RIALtO_Baseline1.DEMBodySArea"	471	471
"dbo_R_RIALtO_Baseline1.OTSImmunDate"	3	471
"dbo_R_RIALtO_Baseline1.OTSTB2Micro"	44	471
"dbo_R_RIALtO_Baseline1.B2MicroCS"	134	471
"dbo_R_RIALtO_Baseline1.OTSTIGA"	9	471
"dbo_R_RIALtO_Baseline1.IGACS"	106	471
"dbo_R_RIALtO_Baseline1.OTSTIGG"	15	471
"dbo_R_RIALtO_Baseline1.IGGCS"	109	471
"dbo_R_RIALtO_Baseline1.OTSTIGM"	16	471
"dbo_R_RIALtO_Baseline1.IGMCS"	111	471
"dbo_R_RIALtO_Baseline1.OTSMonoPara"	41	471
"dbo_R_RIALtO_Baseline1.MonoclonDetails"	395	471
"dbo_R_RIALtO_Baseline1.OTSAntiGlob"	46	471
"dbo_R_RIALtO_Baseline1.AntiGlobDetails"	392	471
"dbo_R_RIALtO_Baseline1.OTSViralDate"	14	471
"dbo_R_RIALtO_Baseline1.OTSCMV"	21	471
"dbo_R_RIALtO_Baseline1.AntiCMCDetails"	270	471
"dbo_R_RIALtO_Baseline1.Comments"	423	471
"dbo_R_RIALtO_Baseline1.CompBy"	4	471
"dbo_R_RIALtO_Baseline1.CompSigned"	4	471
"dbo_R_RIALtO_Baseline1.CompDate"	4	471
"dbo_R_RIALtO_Baseline1.TrialNo"	0	471
"dbo_R_RIALtO_Baseline2.ClinicalTrialId"	0	479
"dbo_R_RIALtO_Baseline2.Site"	0	479
"dbo_R_RIALtO_Baseline2.PersonId"	0	479
"dbo_R_RIALtO_Baseline2.VisitId"	0	479
"dbo_R_RIALtO_Baseline2.VisitCycleNumber"	0	479
"dbo_R_RIALtO_Baseline2.CRFPageId"	0	479
"dbo_R_RIALtO_Baseline2.CRFPageCycleNumber"	0	479
"dbo_R_RIALtO_Baseline2.HospitalSite"	0	479
"dbo_R_RIALtO_Baseline2.PatientNo"	0	479
"dbo_R_RIALtO_Baseline2.PatInitials"	0	479
"dbo_R_RIALtO_Baseline2.DALBMAspirateDt"	125	479
"dbo_R_RIALtO_Baseline2.DALBMAspirateD2"	148	479
"dbo_R_RIALtO_Baseline2.DA_BMA"	124	479
"dbo_R_RIALtO_Baseline2.DALBMTrephineDt"	113	479
"dbo_R_RIALtO_Baseline2.DALBMTrephineD2"	137	479
"dbo_R_RIALtO_Baseline2.DA_BMT"	105	479
"dbo_R_RIALtO_Baseline2.Samp_6ml_Date"	52	479
"dbo_R_RIALtO_Baseline2.Samp_6ml_DtSnt"	60	479
"dbo_R_RIALtO_Baseline2.sample_6ml"	52	479
"dbo_R_RIALtO_Baseline2.Comments"	349	479
"dbo_R_RIALtO_Baseline2.cytMorph"	334	479
"dbo_R_RIALtO_Baseline2.cytProl"	344	479
"dbo_R_RIALtO_Baseline2.CytComments"	460	479
"dbo_R_RIALtO_Baseline2.ImmCD19B"	333	479
"dbo_R_RIALtO_Baseline2.ImmComments"	453	479
"dbo_R_RIALtO_Baseline2.FISHdel17p13"	324	479
"dbo_R_RIALtO_Baseline2.FISHdel11q22"	325	479
"dbo_R_RIALtO_Baseline2.FISHtrisonomy"	326	479
"dbo_R_RIALtO_Baseline2.FISHdel13q14"	390	479
"dbo_R_RIALtO_Baseline2.FISHmono"	392	479
"dbo_R_RIALtO_Baseline2.FISHbiallelic"	424	479
"dbo_R_RIALtO_Baseline2.BoneSize"	356	479
"dbo_R_RIALtO_Baseline2.BoneQuality"	354	479
"dbo_R_RIALtO_Baseline2.BMTCellular"	358	479
"dbo_R_RIALtO_Baseline2.BMT_CLLCells"	359	479
"dbo_R_RIALtO_Baseline2.sample_40ml"	79	479
"dbo_R_RIALtO_Baseline2.sample_40_date"	81	479
"dbo_R_RIALtO_Baseline2.Samp_40_DtSnt"	83	479
"dbo_R_RIALtO_Baseline2.sample_10ml"	79	479
"dbo_R_RIALtO_Baseline2.sample_10_date"	82	479
"dbo_R_RIALtO_Baseline2.Samp_10_DtSnt"	84	479
"dbo_R_RIALtO_Baseline2.sample_sal"	104	479
"dbo_R_RIALtO_Baseline2.sample_sal_date"	106	479
"dbo_R_RIALtO_Baseline2.Samp_sal_DtSnt"	108	479
"dbo_R_RIALtO_Baseline2.smpKitNo"	54	479
"dbo_R_RIALtO_Baseline2.Comments3"	474	479
"dbo_R_RIALtO_Baseline2.Comments2"	446	479
"dbo_R_RIALtO_Baseline2.CompBy"	15	479
"dbo_R_RIALtO_Baseline2.CompSigned"	15	479
"dbo_R_RIALtO_Baseline2.CompDate"	17	479
"dbo_R_RIALtO_Baseline5.ClinicalTrialId"	0	471
"dbo_R_RIALtO_Baseline5.Site"	0	471
"dbo_R_RIALtO_Baseline5.PersonId"	0	471
"dbo_R_RIALtO_Baseline5.VisitId"	0	471
"dbo_R_RIALtO_Baseline5.VisitCycleNumber"	0	471
"dbo_R_RIALtO_Baseline5.CRFPageId"	0	471
"dbo_R_RIALtO_Baseline5.CRFPageCycleNumber"	0	471
"dbo_R_RIALtO_Baseline5.HospitalSite"	0	471
"dbo_R_RIALtO_Baseline5.PatientNo"	0	471
"dbo_R_RIALtO_Baseline5.PatInitials"	0	471
"dbo_R_RIALtO_Baseline5.QOL_EQ5D"	7	471
"dbo_R_RIALtO_Baseline5.QOL_EQ5D_Dt"	31	471
"dbo_R_RIALtO_Baseline5.QOL_MCQ30yn"	414	471
"dbo_R_RIALtO_Baseline5.QOL_MCQ30_Dt"	434	471
"dbo_R_RIALtO_Baseline5.QOL_EQVAS"	9	471
"dbo_R_RIALtO_Baseline5.QOL_EQVAS_Dt"	39	471
"dbo_R_RIALtO_Baseline5.QOL_BIPQyn"	414	471
"dbo_R_RIALtO_Baseline5.QOL_BIPQ_Dt"	433	471
"dbo_R_RIALtO_Baseline5.QOL_EORTC"	7	471
"dbo_R_RIALtO_Baseline5.QOL_EORTC_Dt"	30	471
"dbo_R_RIALtO_Baseline5.QOL_HADSyn"	414	471
"dbo_R_RIALtO_Baseline5.QOL_HADS_Dt"	433	471
"dbo_R_RIALtO_Baseline5.QOL_QLQ_CLL6"	26	471
"dbo_R_RIALtO_Baseline5.QOL_CLL16_Dt"	64	471
"dbo_R_RIALtO_Baseline5.QOL_VES13"	8	471
"dbo_R_RIALtO_Baseline5.QOL_VES13_Dt"	40	471
"dbo_R_RIALtO_Baseline5.QOL_GFI"	8	471
"dbo_R_RIALtO_Baseline5.QOL_GFI_Dt"	43	471
"dbo_R_RIALtO_Baseline5.QOL_TUAG"	16	471
"dbo_R_RIALtO_Baseline5.QOL_TUAG_Dt"	61	471
"dbo_R_RIALtO_Baseline5.TRTAE"	11	471
"dbo_R_RIALtO_Baseline5.CTTakenQ"	12	471
"dbo_R_RIALtO_Baseline5.CTTakenSup"	14	471
"dbo_R_RIALtO_Baseline5.CompBy"	8	471
"dbo_R_RIALtO_Baseline5.CompSigned"	9	471
"dbo_R_RIALtO_Baseline5.CompDate"	9	471
"dbo_R_RIALtO_Biochemistry1.ClinicalTrialId"	0	7072
"dbo_R_RIALtO_Biochemistry1.Site"	0	7072
"dbo_R_RIALtO_Biochemistry1.PersonId"	0	7072
"dbo_R_RIALtO_Biochemistry1.VisitId"	0	7072
"dbo_R_RIALtO_Biochemistry1.VisitCycleNumber"	0	7072
"dbo_R_RIALtO_Biochemistry1.CRFPageId"	0	7072
"dbo_R_RIALtO_Biochemistry1.CRFPageCycleNumber"	0	7072
"dbo_R_RIALtO_Biochemistry1.ScreenNo"	6584	7072
"dbo_R_RIALtO_Biochemistry1.HospitalSite"	556	7072
"dbo_R_RIALtO_Biochemistry1.PatientNo"	556	7072
"dbo_R_RIALtO_Biochemistry1.PatInitials"	68	7072
"dbo_R_RIALtO_Biochemistry1.BIODate"	471	7072
"dbo_R_RIALtO_Biochemistry1.VisitMonth"	6852	7072
"dbo_R_RIALtO_Biochemistry1.FUweek"	6454	7072
"dbo_R_RIALtO_Biochemistry1.BIOSodium"	495	7072
"dbo_R_RIALtO_Biochemistry1.SodiumCS"	1863	7072
"dbo_R_RIALtO_Biochemistry1.SodiumDate"	7049	7072
"dbo_R_RIALtO_Biochemistry1.BIOPot"	527	7072
"dbo_R_RIALtO_Biochemistry1.PotCS"	1882	7072
"dbo_R_RIALtO_Biochemistry1.PotDate"	7044	7072
"dbo_R_RIALtO_Biochemistry1.BIOChloride"	6996	7072
"dbo_R_RIALtO_Biochemistry1.ChlorideCS"	6994	7072
"dbo_R_RIALtO_Biochemistry1.ChlorideDate"	7068	7072
"dbo_R_RIALtO_Biochemistry1.BIOBicarb"	6197	7072
"dbo_R_RIALtO_Biochemistry1.BicarbCS"	6182	7072
"dbo_R_RIALtO_Biochemistry1.BicarbDate"	7001	7072
"dbo_R_RIALtO_Biochemistry1.BIOCalcium"	916	7072
"dbo_R_RIALtO_Biochemistry1.CalciumCS"	2207	7072
"dbo_R_RIALtO_Biochemistry1.CalciumDate"	6906	7072
"dbo_R_RIALtO_Biochemistry1.BIOPhos"	1280	7072
"dbo_R_RIALtO_Biochemistry1.PhosCS"	2520	7072
"dbo_R_RIALtO_Biochemistry1.PhosDate"	6861	7072
